1,Monkey In Black Cafe - Sư Vạn Hạnh,https://images.foody.vn/res/g16/152809/prof/s576x330/foody-mobile-img_5042-1-jpg-590-636086627225186455.jpg,https://www.foody.vn/ho-chi-minh/monkey-in-black-su-van-hanh,Café/Dessert,7.6,1134,698 Sư Vạn Hạnh,Quận 10,TP. HCM,10.77105799,106.6700968, 08:00 - 22:00,17.000đ - 49.000đ,,monkey-in-black-su-van-hanh
2,Oromia Coffee - Nam Kỳ Khởi Nghĩa,,https://www.foody.vn/ho-chi-minh/oromia-coffee-nam-ky-khoi-nghia,Café/Dessert,7.8,1205,193A/D3 Nam Kỳ Khởi Nghĩa,Quận 3,TP. HCM,10.7864664,106.687142, 07:00 - 22:30,36.000đ - 146.000đ,,oromia-coffee-nam-ky-khoi-nghia
3,Morico - Contemporary Japanese Lifestyle - Vincom Center,,https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-vincom-center,"Nhà hàng, Café/Dessert, Tiệm bánh",7.7,544,"Tầng B3 Vincom Center, 70 - 72 Lê Thánh Tôn, P. Bến Nghé",Quận 1,TP. HCM,10.778442,106.702158, 10:00 - 22:00,70.000đ - 220.000đ,,morico-modern-japanese-restaurant-cafe-vincom-center
4,Morico - Contemporary Japanese Lifestyle - Crescent Mall,,https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-crescent-mall,"Nhà hàng, Café/Dessert",7.9,362,"Tầng 2 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú",Quận 7,TP. HCM,10.727857,106.718174, 11:00 - 18:00,70.000đ - 165.000đ,,morico-modern-japanese-restaurant-cafe-crescent-mall
5,Morico - Contemporary Japanese Lifestyle - Mplaza Saigon,,https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-mplaza-saigon,"Nhà hàng, Café/Dessert",7.8,391,"Mplaza Saigon, 39 Lê Duẩn, P. Bến Nghé",Quận 1,TP. HCM,10.780882,106.701118, 10:30 - 21:00,70.000đ - 165.000đ,,morico-modern-japanese-restaurant-cafe-mplaza-saigon
6,Morico - Contemporary Japanese Lifestyle - Saigon Pearl,,https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-saigon-pearl,"Nhà hàng, Café/Dessert",8,176,"Saigon Pearl, 92 Nguyễn Hữu Cảnh",Quận Bình Thạnh,TP. HCM,10.7908811,106.7190231, 10:00 - 21:00,70.000đ - 165.000đ,,morico-modern-japanese-restaurant-cafe-saigon-pearl
7,Morico - Contemporary Japanese Lifestyle - Lê Lợi,,https://www.foody.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-le-loi,Café/Dessert,7.7,1334,"30 Lê Lợi, P. Bến Nghé",Quận 1,TP. HCM,10.774454,106.700742, 10:30 - 21:00,70.000đ - 165.000đ,,morico-modern-japanese-restaurant-cafe-le-loi
8,Morico - Contemporary Japanese Lifestyle - Diamond Island,https://images.foody.vn/res/g86/851679/prof/s576x330/foody-upload-api-foody-mobile-foody-mobile-mof-sgp-181123151405.jpg,https://www.foody.vn/ho-chi-minh/morico-contemporary-japanese-lifestyle-diamond-island,"Nhà hàng, Café/Dessert",4.9,3,"Đảo Kim Cương, P. Bình Trưng Tây",Quận 2,TP. HCM,10.7787522,106.746685, 11:00 - 19:45,38.000đ - 588.000đ,,morico-contemporary-japanese-lifestyle-diamond-island
9,The Sushi Bar - Capri Hotel Residences,https://images.foody.vn/res/g5/41867/prof/s576x330/foody-upload-api-foody-mobile-1-190312100404.jpg,https://www.foody.vn/ho-chi-minh/the-sushi-bar-capri-hotel-residences,Nhà hàng,7.7,20,"C6B02-2, New South Urban City, P. Tân Phú",Quận 7,TP. HCM,10.730136,106.723424, 11:00 - 14:30 | 17:00 - 22:30,100.000đ - 330.000đ,,the-sushi-bar-capri-hotel-residences
10,Marukame Udon - Đường 3 Tháng 2,https://images.foody.vn/res/g30/297592/prof/s576x330/foody-mobile-t1-jpg-551-636153167124954330.jpg,https://www.foody.vn/ho-chi-minh/marukame-udon-duong-3-thang-2,Nhà hàng,7.6,118,300 Đường 3 Tháng 2,Quận 10,TP. HCM,10.77021057,106.6715464, 08:00 - 22:00,50.000đ - 150.000đ,,marukame-udon-duong-3-thang-2
